code,name,brand,categories,countries,energy_kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,image_url,image_nutrition_url,is_nutrition_anomaly,anomaly_score,claim_legality,claim_confidence,meets_category_expectations,expectation_violations,training_label_score,training_label_risk
3700496301076,Choco Smile,Country Farm,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales extrudées,Pétales de blé chocolatés,Céréales chocolatées pour petit déjeuner non fourrées mais enrichies en vitamines et minéraux",France,377.0,4.0,1.3,80.0,25.0,9.0,0.4,4.0,https://images.openfoodfacts.org/images/products/370/049/630/1076/front_fr.11.400.jpg,https://images.openfoodfacts.org/images/products/370/049/630/1076/nutrition_fr.14.400.jpg,False,-0.48974262882283703,unknown,0.5,False,High fat: 4.0 > 1,0.85,moderate
3700590908249,ARTI SHOT formule +,,en:herbal-teas,France,0.0,0.0,0.0,0.0,0.0,0.0,,,https://images.openfoodfacts.org/images/products/370/059/090/8249/front_fr.4.400.jpg,https://images.openfoodfacts.org/images/products/370/059/090/8249/nutrition_fr.11.400.jpg,False,-0.29600260452682653,unknown,0.5,True,,1.0,low
3700695211527,Sante Verte Toniphyt Boost 30+15 Comprimes,,en:vitamins,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://images.openfoodfacts.org/images/products/370/069/521/1527/front_fr.20.400.jpg,https://images.openfoodfacts.org/images/products/370/069/521/1527/nutrition_fr.14.400.jpg,False,-0.3543479410632869,unknown,0.5,True,,1.0,low
3700790020642,Oméga 3,,en:dietary-supplements,"France, en:morocco",1.0,3.0,0.0,1.0,0.0,3.0,0.0,,https://images.openfoodfacts.org/images/products/370/079/002/0642/front_fr.10.400.jpg,https://images.openfoodfacts.org/images/products/370/079/002/0642/nutrition_fr.12.400.jpg,False,-0.3893645697067467,unknown,0.5,True,,1.0,low
3700790022714,Proti-pasra,Fenioux Nutrition,"Pates-proteinees,Pates-proteinees,Pâtes protéinées",en:France,370.0,4.7,0.9,27.0,2.4,60.0,2.2,2.2,https://images.openfoodfacts.org/images/products/370/079/002/2714/front_fr.19.400.jpg,https://images.openfoodfacts.org/images/products/370/079/002/2714/nutrition_fr.21.400.jpg,False,-0.45395646946682083,unknown,0.5,True,,1.0,low
3700803900299,Psyllium blond bio,Asieco,"Plant-based foods and beverages, Plant-based foods, Cooking helpers, Psyllium, en:dietary-supplements",France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://images.openfoodfacts.org/images/products/370/080/390/0299/front_fr.3.400.jpg,,False,-0.3605754959704405,unknown,0.5,True,,1.0,low
3700864300441,Gel Endurance Fruits Exotiques Bio - 50 ML - On Energy,,en:dietary-supplements,France,152.0,0.0,0.0,38.0,19.0,0.0,0.3,,https://images.openfoodfacts.org/images/products/370/086/430/0441/front_fr.4.400.jpg,,False,-0.4230215650786387,unknown,0.5,True,,1.0,low
3701002400900,Fromage frais aux fruits,LA TRIBU DES GOURMANDS,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Petits suisses, Fromage frais enrichi en calcium et vitamine D, Petits suisses au fruits, Petit suisse à 2-3% de matières grasses, Fromage frais aux fruits à 2-3% de matières grasses enrichi en calcium et vitamine D",France,97.0,2.0,1.3,13.0,12.4,6.6,0.09,,https://images.openfoodfacts.org/images/products/370/100/240/0900/front_fr.4.400.jpg,https://images.openfoodfacts.org/images/products/370/100/240/0900/nutrition_fr.7.400.jpg,False,-0.40436350584928576,unknown,0.5,False,High fat: 2.0 > 1,0.85,moderate
3701002401570,Yaourt à la Grecque sur lit de fruits,Les 4 Pis,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts à la grecque, en:yoghurts-high-in-protein-on-a-fruit-layer",France,125.0,6.7,4.4,13.8,13.2,2.1,0.07,,https://images.openfoodfacts.org/images/products/370/100/240/1570/front_fr.11.400.jpg,,False,-0.4376508398759271,unknown,0.5,False,Low protein: 2.1 < 15; High sugar: 13.2 > 5,0.85,moderate
3701002401716,Yaourt brassé lit de fraise,Monbertille,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts à la fraise, en:yoghurts-high-in-protein-on-a-fruit-layer, Yaourts brassés à la fraise",France,90.0,2.8,1.8,12.5,11.9,3.8,0.2,,https://images.openfoodfacts.org/images/products/370/100/240/1716/front_fr.4.400.jpg,,False,-0.4212517915320889,unknown,0.5,False,Low protein: 3.8 < 15; High sugar: 11.9 > 5,0.85,moderate
3701002401723,Yaourt brassé sur lit de framboises,Monbertille,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts brassés, Yaourts brassés aux fruits, Yaourts à la framboise, en:yoghurts-high-in-protein-on-a-fruit-layer",France,90.0,2.8,1.8,12.6,11.9,3.8,0.14,,https://images.openfoodfacts.org/images/products/370/100/240/1723/front_fr.8.400.jpg,https://images.openfoodfacts.org/images/products/370/100/240/1723/nutrition_fr.10.400.jpg,False,-0.4175381504629614,unknown,0.5,False,Low protein: 3.8 < 15; High sugar: 11.9 > 5,0.85,moderate
3701002401730,Yaourt brassé sur lit de Myrtilles,Montberville,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts brassés, Yaourts à la myrtille, Yaourts brassés aux fruits, en:yoghurts-high-in-protein-on-a-fruit-layer, Yaourts brassés à la myrtille",France,91.0,2.8,1.8,12.8,12.0,3.8,0.2,,https://images.openfoodfacts.org/images/products/370/100/240/1730/front_fr.17.400.jpg,https://images.openfoodfacts.org/images/products/370/100/240/1730/nutrition_fr.7.400.jpg,False,-0.42153781380343053,unknown,0.5,False,Low protein: 3.8 < 15; High sugar: 12.0 > 5,0.85,moderate
3701136400210,Vitamine D3,Synactifs Laboratoires,"Compléments alimentaires, Vitamines",France,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/370/113/640/0210/front_fr.6.400.jpg,https://images.openfoodfacts.org/images/products/370/113/640/0210/nutrition_fr.8.400.jpg,False,-0.353903704118741,unknown,0.5,True,,1.0,low
3701142000053,Top bar protein,,en:Protein bars,France,364.0,12.8,6.5,30.2,25.4,27.4,0.52,,https://images.openfoodfacts.org/images/products/370/114/200/0053/front_fr.4.400.jpg,,False,-0.41712963760315647,unknown,0.5,False,High sugar: 25.4 > 5,0.85,moderate
3701182300007,Proteines mix vegan,Alter Nutrition,"Dietary supplements, Bodybuilding supplements, Protein powders",en:France,383.0,12.0,2.2,5.2,3.8,50.0,0.0,,https://images.openfoodfacts.org/images/products/370/118/230/0007/front_en.29.400.jpg,https://images.openfoodfacts.org/images/products/370/118/230/0007/nutrition_en.31.400.jpg,False,-0.3832487591839597,unknown,0.5,True,,1.0,low
