code,name,brand,categories,countries,energy_kcal,fat,sugar,protein,salt,integrity_score,risk_level
42,Multivitamins & Minerals,Seara,"Compléments alimentaires, Vitamines","Belgien, Germany",169.0,9.0,4.05,22.0,0.125,0.7649278548151717,high
46,1up,Streawberry shortcake,"Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, Brazil nuts, Protein",United Kingdom,352.941176470588,17.6470588235294,5.88235294117647,11.7647058823529,,0.8586496355454032,moderate
73,Whopper,nutra vita,"Dietary supplements, Vitamins, Omega-3",en:Germany,225.0,13.3,,9.7,0.865,0.8673287071810855,moderate
108,BP-ER,"Edelbrand, Wellgard","Beverages and beverages preparations, Beverages, Dietary supplements","Italien, Germany",360.0,0.0,0.0,90.0,1.25,0.9734836508510297,low
135,Veganes Protein Schoko,Volksshake,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:Germany,354.0,6.0,0.2,69.8,0.8,1.0,low
172,mélange vegan pour boisson proteinee,Herbalife nutrition,Mélange vegan pour boisson proteinee,en:germany,388.0,9.3,0.8,5.4,2.0,0.8682180861752685,moderate
191,Mix fruits rojos,Zitromac,Dietary supplements,en:Ireland,332.299987792969,5.19999980926514,,8.10000038146973,,0.9556392417194782,low
229,Vanilla Grass-fed Whey Protein Isolate,Opportuniteas,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Ireland,400.0,0.0,23.3,73.3,1.12,0.9136247549873966,moderate
245,Psyllium husk powder,It’s just,"fr:protéines whey, en:bodybuilding-supplements",en:france,357.0,1.0,2.33,86.7,0.5,0.9890375846573702,low
387,Multi collagen gummies,Carlyle,en:dietary-supplements,en:Ireland,800.0,,250.0,,,0.7853945472157087,moderate
455,100% Whey Isolate,Scitec  Nutrition,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Ireland,348.0,0.5,,84.0,,0.9971304607680541,low
747,Organic Protein Powder Vanilla Bean Flavored,Orgain,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Ireland,326.086956521739,8.69565217391304,,45.6521739130435,,0.989475962004188,low
772,Vitamin B12,Nutribioticals,"Dietary supplements, Vitamins",en:Spain,451.0,31.94,,7.84,,0.6899778165919974,high
875,Vegan 3K-protein,Nutri +,Protein powders,en:Ireland,372.0,2.4,1.1,85.0,3.1,0.9742767113331343,low
893,Bio Whey Protein Kakao,Terrasoul Superfoods,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:Germany,273.0,0.0,66.7,6.67,0.117,0.796238829469457,moderate
931,Nutritional yeast,,Bovine collagen,en:Ireland,327.0,5.0,8.0,49.0,,0.8884923520960724,moderate
1065,boisson à l'aloe vera,Herbalife,"Alimentos y bebidas de origen vegetal, Bebidas, Comidas preparadas, Bebidas de origen vegetal, Bebidas a base de frutas, Suplementos dietéticos, Suplementos de culturismo, en:Supplement, en:groceries","France,Espagne",12.0,0.0,0.0,0.0,0.1,0.989115998857854,low
1248,Chocolate + Vanila Powder,Blackbelt Protein,"Dietary supplements, Bodybuilding supplements, Protein powders",Ireland,376.0,7.2,20.8,36.0,1.23,0.8384654953803824,high
1426,Protein Drink Mix,Herbalife,"Meals, Dietary supplements, Bodybuilding supplements, Protein powders","France,Espagne",110.0,3.0,1.0,15.0,0.889,0.979428956591059,low
1524,roseguard  vitamin a c e  rosmery,herbalife,"en:Plant-based foods and beverages, en:Plant-based foods, en:Sweeteners, Doplněk stravy, en:Stevia and their products, en:Supplement","France,Spain",0.0,0.0,0.0,,,0.9940795572906583,low
1569,Shakemate,Herbalife,"Dietary supplements,Bodybuilding supplements,Protein powders",Ireland,382.0,3.0,0.0,83.0,82.5,0.7979222898470194,moderate
1660,Tom’s of Maine Fresh Mint,"Herbalife, lackmann",Shake proteine,"France, Germany",348.0,3.5,15.0,48.0,0.83,0.7555425252666699,high
202330877,Hydro 90 BV 104 Whey Protein,WHYsport,"Whey Protein, en:bodybuilding-supplements",Italy,384.0,2.4,1.0,88.0,0.4,0.9911167580430656,low
2171,Organic Vegan Protein Shake Mix,Earth Chimp,Protein powders,en:Ireland,120.0,2.0,0.003,20.0,0.6,0.8392485055885938,low
244934031,Bio Erbsen Protein 82%,Piowald,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:Germany,402.0,7.8,0.0,82.0,1.9,0.9910671829113509,low
2600,Protein Drink Mix,Herbalife,"Dietary supplements,Bodybuilding supplements,Protein powders,Protein shakes","Croatia,France,Spain",387.0,8.2,0.9,53.0,2.6,0.9771143557030167,low
4462,Boisson nutritionnelle banana creme,Herbalife,"Dietary supplements, en:bodybuilding-supplements","France,Espagne",377.0,10.0,30.0,35.0,1.2,0.7837862128264561,high
4505,Anthony's Pumpkin Seed Protein Powder,Anthony's,"Pumpkin seeds and their products,Protein powders",en:Ireland,400.0,10.0,6.67,60.0,1.42,0.856621289532919,moderate
4900,blueberry muffins,Entenmann's,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Dietary supplements, Special breads, Bodybuilding supplements, English muffins, Protein powders, Breakfast",Ireland,150.0,2.0,3.0,6.0,,0.9043880307005433,moderate
4905,Muscle milk,Muscle milk,"Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Breads, Shakes, Protein",en:Ireland,500.0,21.4285714285714,7.14285714285714,7.14285714285714,,0.8231394014943072,moderate
4906,MM Cookies 'n Cream Protein Powder,Miscle milk,"Shake, Protein powder",en:Ireland,100.0,1.0,50.0,20.0,,0.6855581087997056,high
4909,Marias,Gamesa,"Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Snacks, Cereals and potatoes, Breads, Dietary supplements, Bodybuilding supplements, Protein powders, Electrolytes",en:Ireland,100.0,7.0,14.0,3.0,,0.8517009522244359,moderate
683442920,Designer Whey Protein Vanilla,ESN,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Germany,374.0,4.5,4.5,78.0,0.7,1.0,low
6853,Collagen,Wehle Sports,Dietary supplements,en:Germany,359.0,0.1,0.1,90.0,2.0,0.9788425539857378,low
979254822,Perfectbar,,"Supplementi dietetici, Integratori per bodybuilding, Barrette proteiche",Italy,415.0,18.0,0.8,48.0,0.5,1.0,low
980642755,Bevanda al gusto di cacao,Dieta Lab,"Bevande, Prodotti disidratati, Prodotti disidratati da reidratare, Supplementi dietetici, Bevande istantanee, Integratori per bodybuilding, Bevande disidratate, Proteine in polvere",Italy,352.0,4.8,5.2,64.0,2.6,0.8420153648159724,moderate
982658167,Protein break,,"Dietary supplements,Bodybuilding supplements",Italy,447.0,18.0,20.0,8.7,0.13,0.9438858367396986,moderate
988381152,Perfect 100% Whey,WHY SPORT,en:dietary-supplements,en:Italy,375.0,1.4,1.0,88.0,0.295,1.0,low
1003308851,protein bar chocolate toffee brownie flavour,Powerbar,Protein bars,France,332.0,13.0,1.7,24.0,0.4,0.9682901660585141,low
1403701389,High Protein Water,Aqua+,Proteinshake,en:germany,18.0,0.0,0.0,4.0,,0.7230290826530491,high
14395,protein pure isolate,Bodylab,"Dietary supplements,Bodybuilding supplements,Protein powders",Netherlands,373.0,1.0,3.6,88.0,0.63,1.0,low
16510,Whey protein,lackmann,"Dietary supplements, Bodybuilding supplements, Protein powders","Vereinigte Staaten von Amerika, Germany",410.26,8.97,17.95,53.85,0.42,0.8690703861615499,moderate
17713,Whey native isolate chocolat,Nutrimuscle,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Ireland,377.0,0.300000011920929,,86.0,,0.9985261659749147,low
32056,spaghetti,Sainsbury's,"Plant-based foods and beverages, Beverages, Plant-based foods, Hot beverages, Plant-based beverages, Pastas, Herbal teas, Dry pastas, Chamomile","France, en:united-kingdom",164.0,0.7,1.5,5.1,0.0125,0.8944995095429414,moderate
3514300592,Unsweetened Green Tea,Ito En,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas, Green teas, Herbal teas","Japan, United States",0.0,0.0,0.0,0.0,0.00613,1.0,low
38325,Activate,Tranont,en:dietary-supplements,en:Ireland,10.0,,,,,0.9790898387499538,low
39365,Pure Whey Protein Berries & Cream,Bulk Powders,"Dietary supplements,Bodybuilding supplements,Protein powders",France,417.0,7.5,8.7,76.3,0.371,0.8677766970035395,moderate
44701,Summer berries,Herbalife,en:dietary-supplements,en:Ireland,398.0,9.69999980926514,21.0,35.0,,0.9490240618971798,low
49059,MM,Muscle milk,"Protein drink, Protein shake",en:Ireland,170.0,2.0,1.0,32.0,,0.9802059088338827,low
51446,Greek Style Natural Yogurt,M&S Food,"Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Fermented dairy desserts with fruits, Yogurts, Fruit yogurts, Greek-style yogurts, Low-fat yogurts, Yogurts high in protein on a fruit layer, en:plain-yogurts","France, en:united-kingdom",64.0,0.4,8.0,7.0,0.1775,0.8957446327656247,moderate
5468879935,Hydrixir antioxydant mojito,OVERSTIM.s,"Dietary supplements, en:instant-beverages",France,357.6,1.0,48.0,1.0,1.9,0.7984302931801148,moderate
75283,Blend vegan,Growth,Dietary supplements,Ireland,316.666666666667,,,73.3333333333333,,0.9868998129977928,low
94845,Whey Protein Bar Chocolate Fudge,NO!CE,protein bar,India,365.0,8.93,0.0,25.0,0.406,0.9417276619886545,low
100755,Complete diet protein smoothie advanced strawberry,Bulk Powders,Dietary supplements,France,367.0,8.0,6.0,67.2,0.6700000166893,0.878059270126745,moderate
103106,Prenium CTC leaf black tea,Madupatty,"Plant-based foods and beverages, Beverages, Plant-based foods, Hot beverages, Plant-based beverages, Teas, Herbal teas, Black teas, Unsweetened beverages",France,120.0,,,19.0,,0.994174725800508,low
110415,Plant based protein powder,,en:dietary-supplements,en:spain,400.0,4.0,0.0,80.0,2.5,0.9881706658075472,low
111106,Chocolate whey balls dark chocolate,Active Food,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Meat alternatives, Meat analogues, Meat analogues from soy or wheat proteins, Vegetarian balls, Balls from soy and or wheat proteins",France,470.0,22.0,33.3,19.1,0.02,0.7711972778980205,moderate
119804,Whey protein,Bulk Powders,"Dietary supplements, Bodybuilding supplements, Protein powders",France,417.0,8.33,8.67,76.3,0.37,0.8681376836148996,moderate
12000028496,DOUBLESHOT ENERGY VANILLA ENERGY COFFEE BEVERAGE,STARBUCKS,"Beverages and beverages preparations, Beverages, Sweetened beverages, Coffee energy drink, en:energy-drinks","France, United States",47.4,0.677,6.55,2.71,0.0959,0.9304319562225711,moderate
12000286209,PURE LEAF Real Brewed Tea UNSWEETENED NO SUGAR,PURE LEAF,"Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Teas,Herbal teas,Unsweetened beverages,Tea-based beverages,Iced teas,Unsweetened Black Tea","France,United States",0.0,0.0,0.0,0.0,0.0,1.0,low
12000286223,Raspberry Real Brewed Tea,Pure Leaf,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas, Herbal teas","en:france, United States",32.0,0.0,8.29,0.0,0.0,1.0,low
155194,Banana whey protein,Bulk,"Dietary supplements, Bodybuilding supplements, Protein powders",en:United Kingdom,113.0,1.2,1.3,22.0,,0.9937849659905488,low
15794017950,Vegan protein,,"Dietary supplements,Bodybuilding supplements,Protein powders",France,407.0,9.26,0.0,74.1,2.78,0.9183401791303855,low
16000140912,Protein One Protein Bars Peanut Butter Chocolate,"Fiber One, General Mills, Protein One",Protein Energy Bars,"France,United States",333.0,9.26,3.7,37.0,1.39,0.909362148145613,low
16000285736,Packed sustained energy bar - almond butter & blueberry,Nature Valley,"Snacks, Sweet snacks, Bars, Dietary supplements, Bodybuilding supplements, Energy bars, Blueberry bars","United States,France",500.0,29.2,25.0,14.6,0.703,0.8110925459000097,moderate
16000411494,Chewy Protein Bar,Fiber One,"Dietary supplements,Bodybuilding supplements,Protein bars",France,394.0,18.2,3.03,18.2,0.985,0.8471922160518772,moderate
16000437784,PROTEIN OATS & DARK CHOCOLATE GRANOLA,NATURE VALLEY,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, en:dietary-supplements","France,United States",418.0,11.9,26.9,19.4,0.597,0.8827835728456164,moderate
16000457249,Protein bar,Nature valley,"Dietary supplements, Bodybuilding supplements, Protein bars",France,500.0,30.0,15.0,25.0,0.938,0.7230899833278701,high
16000506497,Brownie Chocolate Fudge,Fiber One,"Snacks, Sweet snacks, Bars, Dietary supplements, Bodybuilding supplements, Protein bars, en:brownies","en:costa-rica, en:mexico, en:spain, en:united-states",280.0,3.0,2.0,2.0,0.2,0.916566632118733,low
16000507661,Peanut Butter Dark Chocolate Chewy Bar,Nature Valley Protein,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Sweet snacks,Cereals and their products,Confectioneries,Bars,Cereal bars,Dietary supplements,Bodybuilding supplements,Protein bar","France,États-Unis",475.0,30.0,17.5,10.0,0.0010625,0.6783128616453535,high
174548,clear vegan protein,bulk,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:Germany,337.0,0.4,,75.0,4.4,0.8588939327090709,moderate
17929745608,Nutritional yeast vsf mini flake,Red Star,"Cooking helpers, Food additives, en:nutritional-yeast","France,United States",375.0,3.12,12.5,50.0,0.469,0.8040265670785192,moderate
187613,Tisane ventre plat,La tisanière,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Herbal teas",en:Ireland,10.0,,,,,0.9790898387499538,low
19962717024,Musclepharm Combat 100% Whey Chocolate - 5 LB,MusclePharm,en:protein-powders,France,401.0,7.42,5.93,71.2,0.593,0.8771676087240384,moderate
202597,Pure whey protein Vanille,"Bulk, Bulk Powders","Dietary supplements, en:bodybuilding-supplements",France,376.0,4.0,4.5,75.0,0.38,1.0,low
21245573203,Magnesium 500mg,Kal,Dietary supplements,Switzerland,0.0,,,,,0.9965538142907319,low
215466,Camomile Infusion,Sainsburys,"Camomile infusion, en:herbal-teas",en:United Kingdom,1.0,0.0,0.0,0.1,0.0,0.9901899246777339,low
225634,Pure Whey Protein,Bulk,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:Germany,380.0,4.0,,73.3,,0.9923808580997044,low
245000,Pure Whey Powder,Bulk,"Dietary supplements, Bodybuilding supplements, Protein powders",United Kingdom,377.0,4.0,4.5,73.0,0.38,1.0,low
251303,Rice Pops,by Sainsburys,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Breakfast cereals fortified with vitamins and chemical elements, Sweet-breakfast-cereals, Sweet-breakfast-cereals-fortified-with-vitamins-and-chemical-elements",en:United Kingdom,387.0,1.67,4.0,7.67,0.392,0.9032334216276364,moderate
26395200320,Gelée D'Aloe Vera - 946 ML - Lily of the Desert,Lily Of The Desert,en:dietary-supplements,France,6.0,0.0,1.7,0.0,0.1,0.9775207386079025,low
26395840168,Jus Biologique D' Aloe vera Bio,Lily of the desert,en:dietary-supplement,France,7.0,0.0,0.0,0.0,0.21,0.9618690719576691,low
265606,Bulk Pure Whey Protein Cinamon Cereal,Bulk,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:Germany,376.0,4.0,2.6,75.0,0.38,0.9951217365625978,low
27917006031,Immune c,,"Dietary supplements, Vitamins",Hong Kong,10.0,0.0,100.0,0.0,1.25,0.7998946761980178,moderate
289481,Loading…,By Sainsbury's,"Dietary supplements, Capsules",United Kingdom,92.0,7.9,0.7,0.7,,0.9846058695615643,low
30302360182,Impact Vegan Protein Chocolate Flavour,MyVegan,en:dietary-supplements,en:United Kingdom,360.0,2.67,0.0,70.0,0.658,0.9877481694837289,low
308199,"Blackberry, Apple, Beetroot & Ginger Infusion Bags",Sainsbury's,en:herbal-teas,"France, United Kingdom",1.0,1.0,1.0,1.0,1.0,0.7984364422860407,moderate
33984004320,Calcium citrate with vitamin D3,Solgar,"Suplementos dietéticos, Vitaminas",Spain,0.0,0.0,0.0,0.0,0.0,1.0,low
33984005204,Calcium Magnesium Plus Zinc - 100 Comprimés - Solgar,Solgar,Minerals,France,0.0,0.0,0.0,0.0,,0.9956459012865895,low
33984010802,Vitamine B9 (acide Folique) 400µG - 100 Tablettes - Solgar,Solgar,"Dietary supplements,Folic acid",France,0.0,0.0,0.0,0.0,,1.0,low
33984013179,Glucosamine Hyaluronic Acid Chondroitin MSM,Solgar,Dietary supplements,"Switzerland,en:switzerland",333.33,,,,10.15,0.8270166068385862,moderate
33984023154,Psyllium Husk Fibre Capsules,Solgar,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Dietary supplements, Bodybuilding supplements, Breakfast cereals rich in fibre, Supplements",United Kingdom,1.0,1.0,1.0,1.0,0.0,0.9882892082408256,low
33984032293,Vitamine B12,Solgar,"Dietary supplements,Vitamins,Vegan","France,Spain,United States",0.0,,,,,0.9965538142907319,low
33984033214,Vitamin D3,Solgar,"Compléments alimentaires, Vitamines",France,0.0,0.0,0.0,0.0,,1.0,low
33984549562,Vitamin D3 1000 Ui,Solgar,"Compléments alimentaires, Vitamines",France,0.0,0.0,0.0,0.0,0.0,1.0,low
33984665378,Spoonfuls Vegan protein nutritional shake chocolate coconut flavor,Solgar,"Dietary supplements, Bodybuilding supplements, Protein shakes",Switzerland,388.0,7.14,2.04,40.8,1.12,0.9949007552866989,low
34362026156,Hipro,Danone,Boissons proteiné,en:france,60.0,0.5,5.6,,,0.9536998852777666,low
349420,Hardcore whey GH,USN,"Dietary supplements, Bodybuilding supplements, Protein powders",Belgium,400.0,8.79,4.55,81.8,1.79,0.9925722415787359,low
356145,No Chicken Chunks,"Plant Pioneers,Sainsburys","Meat alternatives, Meat analogues, Meat analogues from soy or wheat proteins",United Kingdom,252.0,16.5,0.625,16.9,0.76,0.9954404197050649,low
36632032157,Off-the-charts cherry pie flavor not-so-traditional blended greek yogurt,"Danone, Oikos","Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Fermented dairy desserts with fruits, Yogurts, Fruit yogurts, Greek-style yogurts, Yoghurts-high-in-protein-on-a-fruit-layer","France, United States",100.0,2.67,10.67,7.33,0.0825,0.8582237678217813,moderate
366861,Chocolate Flavoured Milk,M&S,"Beverages, Dairies, Dairy drinks, Flavoured milks, Chocolate milks, Partially skimmed chocolate milks, Partially skimmed chocolate flavoured milk with sugar fortified with vitamins and chemicals elements","France,United Kingdom",72.0,1.8,10.0,3.3,0.0975,0.7678841825279313,moderate
37000337102,4-in-1 Fiber Psyllium Fiber Supplement,Metamucil,en:vitamins,France,259.0,,,,0.216,0.7978364771389196,moderate
376288,Whey banana,Xxl nutrition,en:bodybuilding-supplements,en:The Netherlands,384.0,5.9,,82.0,,0.9970517977745269,low
381925,Chesnut Mushrooms,"Sainsbury's, Sainsburys","Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Vegetables based foods, Mushrooms and their products, Mushrooms, Chestnut-mushrooms, Vitamin-enriched-super-chestnut-mushrooms",United Kingdom,8.0,0.5,0.5,10.0,0.001,0.9231188768666918,low
38900009144,Pineapple Juice,Dole,"Beverages and beverages preparations, Beverages, Pineapple juice from concentrate with added vitamin C, en:pineapple-juices","United States, Germany",56.5,0.0,12.4,0.0,,0.9889474321365809,low
39442030528,Flex,Animal,en:dietary-supplements,France,10.0,1.0,,0.0,,0.9676914603428224,low
39442081148,CarbRite Diet,"Doctor's, S'mores","Dietary supplements,Bodybuilding supplements,Protein bars",France,344.0,7.05,0.0,37.0,0.618,0.9904602630070745,low
39978003485,Chai protein powder,Bob's Red Mill,"Beverages, Dietary supplements, Bodybuilding supplements, Protein powders","France, United States",400.0,6.67,2.22,44.44,1.39,0.8216183056941198,moderate
41508800129,Carbonated Natural Mineral Water,S. Pellegrino,"Beverages, Carbonated drinks, Waters, Spring waters, Mineral waters, Carbonated waters, Carbonated mineral waters","France,États-Unis",0.0,0.0,,0.0,0.00833,1.0,low
41990050019,Still Natural Mineral Water,Ballygowan,"Beverages, Waters, Spring waters, Mineral waters",France,0.0,0.0,0.0,0.0,0.0,0.9992290418775677,low
42290039759,Fennel Tea,Messmer,"Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Hot beverages, Beverage preparations, Herbal teas, Fennel, Caffeine-free-herbal-tea, Fennel-tea, en:teas","Canada,France,Germany",5.0,0.0,,0.0,,0.9845937081336125,low
43156667659,Finest Whey Clear,Engel Nutrition,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:germany,341.0,0.2,1.0,78.9,0.1,0.9998107021644318,low
47469068523,biotin,Natrol,Dietary supplements,France,0.0,0.0,0.0,0.0,0.0,1.0,low
47469071448,Melatonin,NATROL,Dietary supplements,en:france,1.0,0.0,0.0,0.0,0.0,1.0,low
47793376417,Collagen Powder,Engel Nutrition,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:germany,318.0,0.0,0.4,72.0,0.46,0.9960724917358268,low
47793376424,Collagen Powder,Engel Nutrition,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:germany,318.0,0.0,0.1,72.0,0.46,0.9939904130562998,low
47793376554,Finest Protein Complex,Engel Nutrition,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:germany,359.0,2.1,2.2,79.3,1.12,0.9973342068304673,low
47793376592,Finest Whey Clear,Engel Nutrition,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:germany,341.0,0.2,1.0,78.9,0.1,0.9998107021644318,low
47793376608,Finest Whey Clear Mango Maracuja,Engel Nutrition,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:Germany,341.0,0.2,0.4,78.0,0.08,0.9979722372282598,low
48107175641,GNC Pro Performance 100 Whey Chocolate Supreme 12 Servings,,Chocolate Protein Powder,en:france,95.2,5.63,5.63,67.6,0.0,0.7140974823537253,moderate
48107175658,Pro Performance 100% Whey Vanilla Cream,GNC,en:protein-supplement,en:spain,370.0,3.33,2.0,80.0,0.658,1.0,low
48107238759,Pro Performance Weight Gainer double chocolate,Gnc,"Dietary supplements,Bodybuilding supplements",India,388.0,1.65,14.8,10.3,0.193,0.9555264516562302,moderate
48107251123,100% Whey Protein Pro Performance,"GNC, Guardian Healthcare Services Pvt. Ltd.",Protein powders,en:india,359.34,4.37,4.57,68.57,0.688425,0.9939979466868517,low
48107255930,Coffee flavour Protein Wafer Bar,GNC,Protein bars,India,490.0,24.5,,25.0,,0.9609971542212631,low
48553677799,Pro build Plant protein,Cureveda,Protein powder,en:india,38.3,0.323,0.52,7.73,0.0143,0.9099532545111082,moderate
49000409772,Agua dasani,Dasani,"Bebidas, Aguas, Aguas de manantial, Aguas minerales, Aguas minerales naturales","Dominican Republic,France",0.0,0.0,0.0,0.0,0.006,0.996178205224875,low
49070000381,Nutritional Yeast Flakes,Engevita,"Condiments,Nutritional yeast",en:United Kingdom,349.0,5.0,1.0,47.0,0.25,0.9841555178776233,low
49283802185,S.Pellegrino,San Pellegrino,"Beverages, Carbonated drinks, Waters, Spring waters, Mineral waters, Carbonated waters, Unsweetened beverages, Sparkling Mineral Water","France,États-Unis",0.0,0.0,0.0,0.0,0.0078,0.9992290418775677,low
494946,Wafer Thin Brunswick Ham,By sainsbury's,"Meats and their products, Prepared meats, Hams, Meat alternatives, Meat analogues, Meat analogues from pea proteins",en:United Kingdom,122.0,3.9,0.5,21.5,1.5925,0.9891370649232143,low
51000203519,Campbells V8 Vfusion + Energy Strawberry Lemonade,V8,en:energy-drink,en:france,4.22,0.0,0.844,0.0,0.0158,0.9457283832109261,low
51111407592,Birthday Cake Protein Oats,Freaking Protein Oats,"Dietary supplements,Bodybuilding supplements,Protein bars",India,364.0,7.79,3.9,28.6,0.649,0.9317474094094226,low
51494103722,Mixed Berry Flavor Women's Multivitamin Soft Chews,Megafood,Dietary supplements,Ireland,20.0,,3.0,,,0.970255966308342,low
52600112164,Marshmallow Fluff,"Durkee-Mower  Inc., Fluffernutter","Beverages and beverages preparations,Snacks,Breakfasts,Spreads,Sweet snacks,Confectioneries,Sweet spreads,Beverage preparations,Herbal teas,Mallow","France,United States",333.0,0.0,50.0,0.0,0.104,0.7886111973834169,moderate
54047439408,Proteinquelle,Histaminikus,"de:proteinpulver, de:proteinshakes",Germany,409.0,10.8,1.14,58.1,0.143,0.9941734158148458,low
58089005027,Tisane a l erable,Etabliere du Moulin,"Beverages, en:herbal-teas",France,0.0,0.0,0.1,0.1,0.0,0.9955518958172072,low
59527551595,Cranberry Organic Snack Bars,Taste Of Nature • 🇨🇦,"Snacks,Sweet snacks,Bars,Bodybuilding supplements,Energy bars,Fruit-and-seed-bars,Individually-wrapped-snacks,Organic-gluten-free-fruit-nut-snack-bars,Snack-bars","France,Canada",469.0,25.0,25.0,15.6,0.0,0.9375014539933756,moderate
59749876957,Bouteille d'eau,Selection,"Beverages and beverages preparations, Beverages, Waters, en:mineral-waters","en:canada, en:spain, en:france",0.0,0.0,0.0,0.0,0.0,0.9956171564369409,low
60383154189,Protein almond & coconut coated granola bars,President's Choice,en:Protein bars,France,432.0,21.6,13.5,29.7,0.709,0.7948683079849908,moderate
60383185268,Watermelon Sparkling Water,President's Choice,"Beverages, Carbonated drinks, Waters, Spring waters, Mineral waters, Carbonated waters","Canada,France",0.0,0.0,0.0,0.0,0.0,0.9992290418775677,low
61998679890,Organic Udo's Oil 3.6.9 Blend,Flora,Dietary supplements,"en:France, World",800.0,93.333333333333,0.0,0.0,0.0,0.7995148979635621,moderate
64642021373,Potassium 100 mg Timed Release,Jamieson,"Electrolyte-supplement,Mineral-supplements,Potassium-100-mg,Nutritional Supplement","Spain,Canada",0.0,0.0,,0.0,,0.9956459012865895,low
67002303997,PURE PROTEIN Chocolate Peanut Butter Gluten Free Bar,PURE PROTEIN,"Snacks, Sweet snacks, Bars, Dietary supplements, Bodybuilding supplements, Protein bars",France,190.0,7.0,4.0,20.0,1.0,0.9001542069625572,low
67002304529,"100% Whey Poudre De Protéine, 907 G, Crème à La Vanille",Pure Protein,en:protein-powders,en:france,400.0,6.25,5.0,62.5,0.688,1.0,low
67334070017,"Shiro Miso, Organic",AMANO Foods •  Richmond BC 🇨🇦,"Fridge-stable-organic-seasoning-paste-or-marinade,High-protein-seasoning-for-soups,Kosher-check,Organic-fermented-aged-high-protein-seasoning,Organic-miso-paste,Organic-shiro-miso,Organic-shiro-miso-paste,Qai-organic","Canada, Germany",200.0,3.33,20.0,6.67,7.33,0.7229009696838995,high
68274000218,Natural spring water,Nestlé,"Beverages, Waters, Spring waters, Mineral waters","Canada, France",0.0,0.0,,0.0,0.0125,0.9882646232068231,low
68958355078,Organic vegan greens protein bar,Natural Factors,"Snacks, Dietary supplements, Bodybuilding supplements, Protein bars","États-Unis, en:france",387.0,13.33,30.67,20.0,0.1,0.8461783601354672,moderate
69000052273,Orange Tangerine Aquafina Plus+,Aquafina,"Beverages, Waters, Vitamin waters","Canada,France",16.9,0.0,4.23,0.0,0.00423,0.9941835502449858,low
70074127309,Gold Strength Pro,Ensure,Boisson lactée aromatisée au chocolat sucrée au lait partiellement écrémé enrichie en vitamines et minéraux,en:Vietnam,114.0,3.8,,4.64,0.208,0.8995748509840893,moderate
70074407050,Original nutrition shake,Ensure,Nutrition drink,France,92.8,2.53,4.22,3.8,88.6,0.7996002442316141,moderate
