code,name,brand,categories,countries,energy_kcal,fat,sugar,protein,salt,integrity_score,risk_level
3662072032852,Native whey isolat instant chocolat,AM Nutrition,"Frozen foods, en:protein-powders",en:France,380.0,2.3,3.2,79.0,0.23,1.0,low
3662072093693,Whey Harder,Whey,"Dietary supplements, Bodybuilding supplements, Protein powders",France,386.0,1.3,5.5,86.0,0.8,0.8723566664268174,moderate
3662072093815,Whey harder,FitnessBoutique,"Dietary supplements, Bodybuilding supplements, Protein powders",France,383.0,1.2,5.2,85.0,0.8,0.8886377405829258,moderate
3662072158262,High Protein Shake,InShape Nutrition,en:protein-shakes,en:france,55.0,0.2,3.7,9.2,0.12,0.8770293354813764,moderate
3662072158279,Protein Shake,Inshape Protein,en:dietary-supplements,en:france,53.0,0.1,3.7,9.2,0.1175,0.9119022229068801,moderate
3662072158316,Crispy Protein Bar Caramel Chocolat,INSANE NUTRITION,"Dietary supplements,Bodybuilding supplements,Protein bars",France,359.0,14.0,4.0,33.0,,0.9996203338832558,low
3663350022312,Guimauve,DV SAS,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Herbal teas, Marsh-mallow tea, en:marshmallows",France,328.0,0.0,69.0,4.0,0.1,0.7989476761737636,moderate
3664037001309,Le gourmand chocolat granola,,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales au chocolat, Mueslis, Mueslis croustillants, Mueslis au chocolat, Mueslis croustillant au chocolat, Muesli croustillant au chocolat non enrichi en vitamines et minéraux",France,412.0,17.1,22.8,10.5,0.0,0.8524580859597797,moderate
3664321508194,Quézac saveur citron,Quézac,"Beverages and beverages preparations, Beverages, Carbonated drinks, Waters, Carbonated waters, Flavored waters, Flavored sparkling waters, en:mineral-waters",France,0.4,0.0,0.0,0.0,0.03,0.9667394001878177,low
3664346355070,Poulain Grand Arome poudre chocolat 32% de cacao,Poulain,"Boissons et préparations de boissons,Cacao et dérivés,Préparations pour boissons,Cacaos et chocolats en poudre,Boissons instantanées,Cacaos en poudre,Poudre cacaotée sucrée pour boisson enrichie en vitamines et minéraux,Chocolats en poudre,Poudre-chocolate",France,368.0,3.7,66.0,6.8,0.02,0.6564610043916124,high
3664524000129,Ergymag,Nutergia,en:dietary-supplements,en:france,0.0,0.0,0.0,0.0,,1.0,low
3665069000551,LIGHT - Raspberry Mango,Feed,en:dietary-supplements,en:france,333.0,4.9,3.2,21.0,0.9,1.0,low
3665069005907,Barre-vegan. Extra cacahuète. (Protéines shot.),Feed,"Plant-based foods and beverages,Plant-based foods,Snacks,Sweet snacks,Nuts and their products,Bars,Dietary supplements,Bodybuilding supplements,Energy bars,Protein bars,Protein Energy Bars",France,393.0,20.0,1.82,23.6,0.345,0.9884670754977829,low
3665501000026,Yoghourts sur lit de fraises,"Pur & Pur, Savencia, Terre bio","Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts à la fraise, en:yoghurts-high-in-protein-on-a-fruit-layer",France,109.0,3.0,16.0,3.9,0.13,0.8492967476052842,moderate
36753161,100% casein complex,Scitec nutrition,en:protein-powders,en:france,350.0,2.3,9.3,73.0,1.1,0.8724033466424185,moderate
36760367,Milk pillows,Lidl,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales pour petit déjeuner enrichies en vitamines et minéraux,Céréales extrudées,Céréales fourrées,Céréales pour petit déjeuner fourrées fourrage autre que chocolat enrichies en vitamines et minéraux",France,477.0,14.5,29.2,9.5,0.68,0.8498002835791554,moderate
3700019514020,Infusion Gingembre,Racines,"Beverages, Unsweetened beverages, en:herbal-teas",France,4.0,0.0,0.0,0.0,0.0,0.9892175602888011,low
3700067370579,Acérola Bio 2000 - 24 Comprimés - Phyto-Actif Laboratoire,,en:dietary-supplements,France,355.0,0.0,0.0,0.0,,1.0,low
3700067371378,Chlorelle 500MG - 300 Comprimés - Phyto-actif Laboratoire,Phyto-Actif,en:dietary-supplements,France,0.0,0.0,0.0,56.8,0.0,0.9693090818072119,low
3700088900359,"Boisson à l'eau minérale et aux extraits naturels de mûre, avec adjonction de gaz carbonique",Orezza,"Beverages and beverages preparations, Beverages, Waters, Flavored waters, en:mineral-waters",France,0.0,0.0,0.0,0.0,,0.9944868932297101,low
3700088911119,Eau Minérale Naturelle,Orezza,"Beverages and beverages preparations, Beverages, Carbonated drinks, Waters, Spring waters, Mineral waters, Unsweetened beverages, Carbonated waters, Carbonated mineral waters, en:natural-mineral-waters",France,0.0,0.0,0.0,0.0,0.01725,0.9826921883512565,low
3700110005328,The ROUGE AF DU SUD ROOIBOS,Destination,"Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Beverage preparations, Herbal teas, Rooibos, en:teas","France,Espagne",0.0,0.0,0.0,0.0,0.0,0.9956171564369409,low
3700123300175,Agua mineral de manantial garrafa,Nestlé,"Bebidas, Aguas, Aguas de manantial, Aguas minerales, Aguas minerales naturales, en:Low mineral bottled waters",Spain,0.0,0.0,0.0,0.0,0.04,0.9642306910470391,low
3700153111338,Hydrixir Antioxydant,OVERSTIM'S,"Beverages and beverages preparations, Beverages, Dietary supplements, en:instant-beverages",France,368.0,0.5,48.0,0.5,0.15,0.8061500067492358,moderate
3700153131671,Overstim's Coup de fouet liquide citron,Overstim.s,Dietary supplements,"France,Spain",226.0,0.0,48.0,0.0,0.07,0.8181292715124903,moderate
3700153151204,Regeprot Saveur Neutre,Oberstim-s,"Dried products,Dried products to be rehydrated,Dietary supplements,Bodybuilding supplements",France,375.0,2.1,1.5,87.0,0.15,0.9902571467290068,low
